,authors,no_of_followers,no_of_followings,no_of_answers,no_of_questions,no_of_posts,date_joined,total_content_views,this_month_content_views
0,James Francis,59,11,1.1K,9,10,August 2013,361.9K,6.4K
1,Amrita Kumari,7,6,57,27,23,January 2023,2.6K,1.9K
2,Cameron Morse,"4,302",1,14K,29,0,January 2017,5.4M,105.8K
3,AI Supercentre,0,0,7,1,0,January 2023,217,98
4,Ryder,45,20,9,0,1,May 2016,1.1K,285
5,Hailey,12,6,15,3,51,May 2022,3.1K,354
6,Bernard,48,60,2.9K,1,0,July 2022,147.3K,17.4K
7,Wow Factors,1,2,105,0,18,January 2022,5.6K,941
8,Pak Tech Hub,0,1,13,0,10,January 2023,1.1K,795
9,Manish Basnet,0,1,65,7,3,December 2018,2.6K,439
10,Joe Sulten,16,1,545,13,0,July 2013,207.9K,3.8K
11,Bhanu Parashar,432,30,22,0,1,November 2021,146.2K,18.5K
12,Quorramember,0,0,41,0,0,September 2022,2.3K,266
13,Valerio Cietto,"5,597",614,2.7K,108,13,July 2014,9.4M,78.2K
14,Andre Szykier,91,27,285,14,22,July 2015,346.6K,1.6K
15,Mohammed,19,2,200,6,39,September 2016,30.9K,3.4K
16,SKD,3,1,72,45,25,January 2023,2.8K,1.2K
17,Ridhi Kumari,4,1,53,1,22,February 2019,7.1K,471
18,ChatGPT.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,Richard Clarke,12,2,3.1K,10,3,May 2021,79.2K,4.3K
20,Carmine Incendio,38,2,534,4,12,January 2016,92.9K,11.4K
21,Lilian Ngugi,0,0,1,0,0,May 2020,221,11
22,Hex Gorilla,15,2,334,22,2,April 2022,27.4K,4.4K
23,Sandeep Bandyopadhyay,2,1,24,33,12,January 2019,1.4K,238
24,Crystal Beshara,1,1,9,0,0,December 2015,691,120
25,Milena Angelova,7,14,128,5,0,March 2022,5.2K,951
26,Hamad Ali Shah,115,7,208,27,65,July 2018,624.2K,47.3K
27,Rida Malik,20,173,87,0,15,August 2018,13.8K,3K
28,The Lost Boy,0,0,12,0,0,March 2021,281,39
29,Quavohuncho,0,0,2,0,1,August 2018,2.7K,25
30,Pro Technical,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31,Benjamin Lassmann,207,1,5.3K,19,0,January 2014,1.4M,64.3K
32,Lidea Roy,7,17,47,2,4,September 2016,44.2K,1.3K
33,Harshit Bhadouriya,0,4,18,1,0,July 2022,1.6K,165
34,Adii Khan,2,8,10,12,2,October 2021,251,11
35,Nirnjan Kumar,1,13,7,0,0,July 2018,253,24
36,Ci-Tech S,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37,Mayoi,486,237,6.5K,216.7K,162,January 2017,3.2M,190.1K
38,Nilesh Yadav,2,0,27,5,2,January 2023,833,218
39,Vali Neagu,4,0,76,0,0,April 2022,3.6K,1.4K
40,Wealth Mafia,0,0,3,0,1,December 2022,184,10
41,Abc,0,0,125,0,0,January 2023,2.7K,717
42,EIA Noida,34,262,361,3,262,April 2020,26K,3.7K
43,Affy,2,0,93,0,0,September 2021,1.8K,91
44,Mm Malik,0,0,8,0,3,October 2022,276,54
45,Shitalkumar Gujale,4,1,86,6,7,July 2020,1.9K,394
46,MONSTER10,0,0,8,58,14,January 2023,242,24
47,Ahmed,49,0,254,0,25,January 2023,8.1K,4.7K
48,Hare Preya,1,0,80,0,0,October 2020,1.5K,985
49,Karanth's Space,2,0,69,12,0,January 2023,2.7K,1.4K
50,Vinoth Kumar,0,2,6,15,8,January 2023,272,251
51,James Lucas,15,3,46,1,0,January 2023,2.3K,1.3K
52,Lokesh Ardhaveeti,0,1,10,0,7,October 2022,645,465
53,Derys Lyttle,0,1,10,1,0,April 2020,135,92
54,Jeff Davis,40,23,85,6,0,February 2016,146.8K,3.4K
55,Sasha Prylypska,0,0,51,0,0,August 2022,1.3K,107
56,Felix Emanon,"1,041",6,51.6K,2.2K,85,February 2021,12M,331.8K
57,Pedro Rocheteau,1,0,11,0,0,December 2022,422,40
58,MEMATRON,3,0,10,0,8,June 2021,1.4K,61
59,Aditya,48,278,60,26,4,May 2016,9.1K,1.9K
60,Priyanka Sahu,4,0,28,0,0,December 2022,3.7K,240
61,Mika Vehns,1,1,2,0,0,December 2022,82,12
62,SKULLè‰¾ CRUSHER,0,0,16,47,34,December 2020,417,39
63,Wallpapers 8k,0,0,6,2,6,January 2023,102,28
64,Aditya Pandey,0,0,18,0,0,January 2023,598,219
65,Manish Kumar,0,1,16,2,2,January 2020,622,58
66,Ehtsham ul Haq,6,0,137,0,3,January 2023,8.6K,2.7K
67,Imran Mansury,2,0,57,181,3,October 2018,8.5K,103
68,Sebastyan Papp,75,4,3K,1,46,December 2021,192.4K,133.1K
69,Pradox,4,1,38,1,0,January 2023,752,177
