timestamp,caller,callee,duration
184,300,301,121
3920,512,299,670
5623,301,300,504
9252,401,457,-1
15466,512,0,5
15497,512,0,28
26400,19,47,619
31312,687,310,11
36265,300,301,74
37049,634,681,20
37663,466,183,2
37760,225,574,5
38151,584,582,0
38192,584,582,28
38277,466,183,3
38892,584,582,11
40020,466,42,55
40307,480,210,0
46698,267,269,0
46716,269,267,112
47697,678,470,18
48457,222,471,9
48684,222,471,2
48810,222,471,201
48972,152,405,110
49704,471,222,38
50727,289,578,5
50766,289,578,4
51682,289,578,1
53004,90,91,111
55017,269,267,67
55162,267,269,9
55423,669,283,83
56687,289,578,2
57599,42,466,45
58643,139,546,743
58753,139,546,743
60310,474,639,169
61083,289,578,2
61919,19,47,74
62972,341,89,22
63038,341,89,23
64118,278,31,8
64495,218,382,3
65089,514,278,2
65142,278,514,13
65147,172,640,659
65271,696,306,-1
65469,19,595,286
65769,382,218,104
65812,12,13,-1
65878,12,13,0
66881,256,845,55
68315,76,31,7
69368,72,73,143
69668,561,631,515
69727,12,13,-1
69794,12,13,0
70585,297,374,3
71000,289,578,0
71648,650,136,142
72171,12,13,-1
72238,12,13,0
72993,24,82,199
74623,121,288,2290
75319,289,752,18
76891,640,172,7
86180,81,374,36
88134,622,39,-1
112152,8,419,-1
112174,419,8,0
112197,8,419,0
112219,419,8,48
112247,622,39,34
112333,8,592,68
112406,39,622,3
112524,622,39,61
113127,668,252,-1
113261,252,668,28
117460,121,288,26
119224,651,623,0
119425,651,623,5
120175,651,623,5
120336,651,623,4
120489,623,651,105
122297,651,623,31
122429,49,171,101
123832,185,210,20
123841,622,39,99
124174,185,210,142
124255,720,342,-1
124287,342,720,52
124365,342,720,0
124412,90,91,604
125449,678,470,21
126529,714,243,-1
126835,714,243,-1
127501,491,208,2
127617,91,90,4
128286,208,491,2
128314,91,90,4
128912,467,207,0
128968,467,560,15
129270,491,208,3
129439,208,491,264
129685,243,714,57
129719,688,405,-1
130012,185,210,60
130470,90,91,81
131066,185,210,4
131076,185,210,2
131169,210,185,26
132569,744,133,44
133493,171,49,111
134196,424,785,0
136430,623,651,358
136618,128,208,-1
137011,49,357,358
138678,92,676,0
138700,92,676,0
139769,623,651,108
140489,623,651,365
140554,221,52,5
140651,771,547,27
140671,221,52,-1
141119,688,405,6
142767,225,337,-1
143341,49,357,307
143816,578,289,124
144260,208,0,19
144481,49,357,154
144798,59,438,103
144873,59,438,103
145039,337,225,475
145220,289,578,112
145295,152,405,0
145525,39,622,101
146227,96,190,2
146777,677,652,0
146786,677,652,3
146838,89,341,24
146934,27,371,2
147024,301,300,23
147053,652,677,53
147288,342,401,109
147326,401,169,58
147385,449,47,203
147426,401,169,58
147785,449,47,41
147811,401,342,87
148269,167,423,-1
148551,167,423,2
148605,12,492,112
148941,49,48,69
149998,267,268,165
150303,652,677,-1
150362,4,424,16
151363,645,235,-1
151385,235,645,63
152084,567,386,33
153670,39,622,2
153780,622,39,-1
153818,622,39,-1
154130,39,622,231
154712,91,90,273
155233,441,580,48
155621,580,441,2
155782,21,20,0
155791,21,20,0
155963,21,20,0
156120,390,683,0
156121,21,20,18
159260,341,89,0
162192,424,266,171
175325,289,578,21
182142,512,36,3
200263,643,567,0
200731,289,752,3
201201,91,90,343
202334,111,421,27
206862,595,19,35
207005,172,640,3
207224,788,394,-1
207448,394,788,2
207544,788,394,71
210658,495,420,1029
210736,495,420,1029
212403,468,116,14
212511,683,390,-1
212563,683,363,63
213344,354,666,22
215174,390,683,0
215904,273,397,3
215962,194,294,19
215979,0,512,3
215981,273,585,1
216042,273,585,1
216106,678,470,3
216114,397,273,42
216179,678,470,0
216219,36,512,45
216235,36,512,-1
216582,470,678,40
216901,812,179,10
217212,190,372,22
217712,140,830,2
217802,136,137,25
217855,137,136,134
217913,140,830,2
217943,140,830,0
218524,701,248,46
219286,221,4,82
219412,221,4,82
220068,8,419,0
220107,8,419,0
220149,688,158,30
220436,420,495,-1
220503,420,495,3
222220,428,206,133
222761,812,656,24
224147,595,19,34
224492,495,420,5
224679,495,420,43
224756,495,420,43
225162,420,495,1057
225226,420,495,1057
225236,623,651,229
227013,20,21,128
227391,578,289,128
229644,289,578,7
229737,505,572,50
229835,589,291,0
229960,578,289,75
229966,572,505,0
229979,572,505,0
229983,572,505,0
229998,572,505,2
230026,572,505,16
230349,88,572,36
230405,88,572,10
230772,362,495,0
232717,401,190,2
233184,267,269,66
234247,623,651,521
234395,267,269,56
234591,494,57,-1
234637,225,337,-1
236231,49,48,76
236309,678,470,84
237052,845,256,48
237532,337,225,3
237542,337,225,144
238405,269,267,9
238441,269,267,31
238911,256,845,17
238994,391,617,478
239237,27,371,98
241564,337,225,59
244081,420,495,273
244147,420,495,271
244473,578,176,1300
244575,96,780,30
245801,20,21,364
246735,455,129,-1
247608,91,90,0
248392,21,20,4
249880,39,622,9
251396,21,20,2
252604,20,21,21
255168,578,289,62
256773,21,20,1
256797,21,20,0
286064,428,206,0
287444,640,172,0
288011,567,676,23
288048,428,206,79
288154,20,442,2
288219,428,206,0
288256,428,206,30
288852,206,428,3
288927,428,206,41
291458,639,474,-1
291509,474,639,0
292837,435,782,33
294956,495,420,40
295032,495,420,40
295753,185,210,44
296020,299,237,33
297711,51,75,-1
298589,51,75,-1
299129,388,506,51
299142,356,210,0
299180,356,210,0
299885,356,210,0
299943,185,356,3
300092,356,210,60
300155,356,210,60
300934,75,51,197
301043,472,537,3
301434,736,207,-1
301752,145,146,83
301854,644,415,44
301969,19,595,55
302192,554,638,36
302225,214,430,44
302294,415,158,2
302388,21,20,48
302705,6,406,52
303043,557,419,19
303266,63,805,148
303314,289,578,55
303373,638,554,11
303887,670,344,10
304184,670,344,53
305430,405,152,19
305486,682,383,64
306015,289,752,26
309620,278,335,27
309968,656,179,36
311512,643,92,67
311559,279,617,84
311708,279,617,98
311714,569,465,3
312354,623,651,1328
312882,301,300,26
313903,266,418,83
314403,569,465,2
314827,444,801,13
314950,801,444,99
315676,304,163,25
315677,569,465,1
317799,289,578,1
318167,145,146,-1
318189,145,146,0
318219,289,578,46
318255,145,146,-1
318321,697,202,22
318581,146,145,1440
320040,145,146,995
320491,289,578,14
320538,403,268,2
321010,91,90,4
321053,90,91,127
322254,390,683,0
322847,289,578,92
323689,289,578,194
324404,652,677,-1
324444,39,622,39
324820,335,278,14
324945,278,335,7
324959,278,335,6
324990,278,335,9
325241,677,652,0
325258,677,652,2
326026,267,403,24
326268,449,47,3
326282,449,47,3
326615,267,403,7
327205,622,39,118
327762,260,459,-1
327798,459,260,75
328053,652,677,-1
328846,677,652,3
329628,23,51,21
330511,677,652,2
331891,521,268,205
332177,420,495,-1
332240,677,652,1
332242,420,495,3
334209,33,709,26
334309,21,20,2
334357,20,21,463
338138,495,420,123
338216,495,420,123
338816,49,48,218
339421,405,688,65
340325,632,491,0
341081,420,495,-1
341147,420,495,3
342619,420,495,-1
342683,420,495,1
343159,301,300,0
373301,527,314,2
373397,314,527,201
373404,314,527,0
373415,688,405,25
374067,805,459,21
374639,575,50,159
376552,638,554,-1
378887,397,212,21
378917,541,367,53
379294,424,785,89
379393,212,397,1
379402,397,212,68
380917,640,172,57
381440,397,212,0
382141,204,64,54
382479,551,640,28
382664,640,95,28
382988,640,172,71
383467,474,304,39
383555,95,640,0
383745,95,640,51
383797,356,210,0
383827,356,210,0
383832,381,416,18
383873,356,210,2
383906,356,185,4
383927,356,210,2
383988,356,210,1
384052,356,210,-1
384271,356,185,47
385105,128,208,-1
386814,445,199,28
387751,147,492,2
387865,492,147,0
388090,561,631,59
388289,21,20,40
388476,561,631,19
388544,543,403,17
388785,289,578,1
389068,615,507,4
389195,424,785,30
389303,845,228,29
389508,615,507,4
389563,444,801,2
391077,495,420,248
391616,569,465,87
392238,521,268,25
392248,578,289,35
392311,399,469,-1
392453,268,521,37
392607,97,578,0
392618,97,578,0
392628,97,578,73
393278,578,97,24
393812,399,469,-1
394394,185,356,38
394588,588,395,0
395102,572,505,0
395541,720,342,170
396459,578,289,2
396479,289,578,171
397273,446,106,287
398151,207,560,24
398939,207,560,9
399003,652,677,12
401327,651,623,83
401446,651,623,208
401535,586,774,19
402460,207,560,0
402499,560,207,11
403971,379,339,31
403990,420,495,-1
404428,289,578,135
404998,301,300,40
405327,495,420,154
405521,39,622,4
405625,136,137,0
405743,39,622,147
405772,194,294,51
406331,539,526,-1
406728,557,419,5
406769,557,8,0
406787,8,557,24
406793,39,622,46
407741,39,622,0
407783,39,622,60
407997,48,49,2
408109,49,48,76
410290,48,49,2
411314,681,634,42
412277,634,681,21
414898,314,527,5
416852,561,173,7
418016,91,90,154
418167,557,419,0
418347,335,278,57
418350,90,91,68
422609,300,301,14
422883,21,20,2
422931,21,20,3
423076,21,20,2
423557,21,20,1
423744,21,20,3
424112,21,20,4
424365,21,20,2
424431,21,20,1
424496,21,20,1
424595,20,21,12
427591,173,561,340
428497,21,20,0
428516,21,20,0
428538,21,20,0
430727,207,677,2
430818,207,677,43
431083,173,561,340
453838,221,324,2
453868,221,324,2
453902,221,324,2
453990,221,324,-1
454023,221,324,-1
454395,221,324,2
454515,221,324,-1
455049,221,324,2
455168,221,324,-1
455583,221,324,2
455701,221,324,-1
456201,221,324,3
456320,221,324,-1
456620,221,324,9
456739,221,324,-1
457183,221,324,4
457302,221,324,-1
458259,297,374,35
461827,405,688,22
463439,301,300,10
465852,636,473,24
466590,396,641,16
466762,656,179,81
467591,444,402,-1
467722,402,444,0
467836,474,639,0
470774,677,652,2
471117,49,357,0
471130,677,207,0
471145,677,207,0
471788,652,677,-1
472014,677,652,2
472270,91,90,0
472371,90,91,71
472871,652,677,-1
472923,677,652,92
473169,49,357,110
473424,623,651,4
474042,640,95,72
474433,628,116,34
475140,152,405,0
475182,405,152,3
475191,21,20,-1
475228,152,405,6
475282,152,405,24
475328,21,20,-1
475419,557,419,2
475441,341,504,3
475448,21,20,-1
476045,91,90,396
476099,8,557,11
476240,465,569,49
476351,578,289,108
476463,651,623,6
476960,386,92,74
477391,549,161,60
477435,269,543,0
477995,95,640,0
478162,95,640,23
478336,292,325,28
478675,91,90,1
478904,424,266,3
478978,49,357,50
479231,267,403,71
479233,49,357,11
479355,260,459,88
479655,289,578,2
479838,455,282,20
480099,455,282,2
480552,578,289,1
480586,289,578,0
480605,289,578,0
480607,578,289,69
480763,657,236,-1
480819,466,269,96
482593,119,175,2
483180,623,651,195
483591,405,152,0
484425,688,405,6
485361,88,254,66
485414,331,257,340
485664,175,119,26
486027,485,472,0
486577,521,268,26
486985,267,403,52
487033,13,583,2
487123,13,583,-1
487197,240,406,25
487806,91,90,114
487921,58,672,0
488498,634,681,52
488701,671,813,0
489013,682,405,15
489112,280,485,52
489241,175,119,26
489351,58,672,0
490384,589,291,0
493352,569,465,11
493874,711,200,-1
494025,49,48,134
495427,695,317,94
496197,355,538,58
496244,152,688,27
496504,688,405,0
496619,244,25,65
496835,106,446,4
500503,289,578,24
501274,289,578,29
503338,136,137,7
503729,466,412,23
504623,382,218,132
506286,564,254,14
507349,109,308,166
507905,342,372,0
507912,342,372,2
511578,744,80,-1
513234,131,280,0
515899,301,300,107
515943,37,36,10
515966,48,49,-1
516208,36,37,876
517810,49,357,59
518065,79,201,1
518097,201,79,9
518390,49,357,15
519672,405,688,19
522287,744,80,72
523145,678,470,129
523723,131,280,0
523933,289,578,22
525932,131,809,10
526143,131,280,0
526614,280,131,342
527335,280,131,473
528168,300,301,12
528177,622,39,676
528268,300,301,2
528303,300,301,0
528307,301,300,53
528866,39,622,513
542681,540,265,-1
548306,143,310,0
548343,310,143,0
553441,697,202,-1
553471,202,697,84
553738,507,615,3
553799,615,507,104
555924,91,90,166
557227,345,396,3
558235,33,242,0
561485,289,578,49
561509,6,27,2
561985,289,578,100
562275,420,495,93
563086,560,359,188
563661,27,6,8
563772,678,470,4
564936,388,506,15
565784,388,506,15
566071,681,634,-1
566139,56,506,60
566206,56,506,59
567106,495,420,12
567121,506,56,13
567308,56,506,9
567374,56,506,9
567668,283,580,0
569453,177,100,21
569565,283,441,-1
569633,678,470,0
569643,678,470,0
569660,678,470,4
569686,678,470,2
569722,678,470,2
569750,143,310,21
570068,485,472,33
570500,678,470,4
570627,470,678,102
572113,151,69,5
572120,151,69,0
573445,96,583,3
573486,583,96,0
573497,96,583,2
573642,283,580,130
573807,283,441,-1
573858,236,472,7
574068,310,143,13
574160,503,13,-1
574239,503,13,0
574495,405,688,39
574951,441,283,250
575098,405,688,0
576348,661,683,43
577090,272,166,60
577176,166,272,4
577226,272,166,46
577323,166,272,15
578480,371,578,27
578497,37,36,240
579267,85,446,146
579380,578,371,0
579462,578,371,0
579883,578,371,0
579911,578,371,0
580367,166,272,24
580413,537,472,11
580513,272,166,2
580965,13,503,0
581043,503,13,-1
581054,13,503,-1
581078,503,13,0
581111,503,13,24
581123,503,13,0
581188,503,13,24
582048,472,194,39
583205,151,69,0
584221,492,147,55
586354,677,324,63
587509,346,636,246
590533,221,107,0
590652,221,107,-1
590703,147,492,2
591103,120,314,2
591173,772,218,38
591308,314,120,2
591383,120,314,13
591563,120,314,2
591679,37,36,25
591688,314,120,53
594099,301,300,108
594297,242,33,27
594317,580,283,14
594679,578,176,0
595944,289,578,1
596635,147,492,46
598233,147,492,51
598861,492,147,0
598918,147,492,20
601403,405,688,157
601819,289,578,0
605502,677,207,0
605598,677,207,0
605696,798,472,-1
607771,845,486,-1
607827,845,486,-1
608446,268,521,493
609183,578,176,2
609692,96,109,-1
611505,69,263,29
615104,96,780,4
615241,780,96,111
616063,300,301,87
629377,491,208,40
631921,491,285,21
642583,615,507,25
642788,324,221,120
642997,324,263,85
643613,263,221,87
644576,623,651,1203
644902,263,221,2
645116,263,324,15
645233,263,324,8
645609,263,221,3
645683,324,221,2
645739,466,173,6
646759,623,651,179
646968,263,221,4
647013,221,263,39
651123,681,634,13
652392,208,491,0
652572,13,503,260
652577,13,503,0
652660,13,503,260
652811,20,21,-1
653201,615,507,42
653329,21,20,18
655691,491,208,39
656113,521,268,463
657194,420,495,306
657399,386,643,-1
657468,92,567,-1
658297,639,474,-1
658317,474,639,26
658462,471,68,0
658764,19,595,155
659697,639,474,25
659779,569,465,70
660044,569,465,13
661424,420,495,18
661758,139,546,3
662096,214,430,14
662139,214,430,72
662253,430,214,2
662294,214,430,25
662981,300,301,2
663009,300,301,3
663043,300,301,1
663090,300,301,0
663301,546,139,157
663418,546,139,157
664802,472,485,29
665134,382,218,800
665512,474,57,2
666846,485,280,40
666929,466,689,3
666961,491,208,4
667111,273,262,114
667776,95,551,0
667890,95,551,2
667921,551,95,48
667975,688,405,0
668559,551,95,19
668982,136,137,81
669117,139,546,54
669246,139,546,55
672204,406,6,104
672323,657,459,61
672414,657,489,117
672448,485,280,0
672489,449,47,84
672588,485,280,12
674040,513,405,18
674305,152,405,9
675463,289,578,35
675773,19,595,246
677056,640,172,713
677856,420,495,-1
678405,19,595,227
679408,436,522,8
679873,37,36,174
680404,623,651,572
680628,495,420,126
681907,623,651,349
681924,92,567,-1
682409,522,436,1245
683185,36,37,4
683328,106,559,64
683513,37,36,15
687044,681,634,-1
688867,634,681,146
696085,401,457,3
697190,457,401,0
697361,401,457,13
697447,401,457,3
698862,379,584,0
718649,601,340,61
719904,207,677,4
720150,707,331,0
720429,267,403,22
721232,52,295,35
721864,688,405,61
724014,560,207,0
724299,560,736,2
724501,207,560,0
724612,560,207,0
724926,736,560,21
725073,202,697,46
725432,471,68,35
725512,448,208,27
725936,634,681,0
726145,688,405,38
726656,681,634,-1
727495,325,427,2
727570,325,427,16
727812,36,512,34
728819,164,304,11
729178,681,634,-1
729248,678,470,2
729696,567,92,24
730132,634,681,55
730806,145,146,18
731853,666,354,30
731935,666,354,31
734119,88,572,8
734527,560,359,74
734639,359,560,10
735538,289,578,156
737000,788,394,18
737030,551,95,28
737031,639,474,30
737399,557,419,-1
738344,331,257,23
738811,551,394,0
738848,394,551,35
739337,90,91,3
739642,623,651,58
740011,331,257,0
740956,325,292,0
741181,449,47,3
742067,301,300,0
742377,586,129,0
743047,491,632,13
743523,263,190,5
743538,263,190,2
743648,49,3,39
743889,192,203,0
744018,133,299,4
744029,133,237,12
746011,37,69,26
746938,578,289,130
748626,436,522,3
749800,93,562,0
750112,47,449,92
750207,152,405,27
750626,152,405,6
751472,703,474,0
751859,272,166,181
752073,397,273,6
752412,136,137,0
752488,137,136,12
752820,144,560,26
752925,560,144,2
753421,218,382,13
753673,401,190,2
753889,500,364,2
754127,364,500,42
754273,617,391,120
755470,144,560,8
755775,266,4,0
755905,266,4,0
756042,266,4,2
756046,4,266,42
756052,266,4,89
757404,531,250,4
757441,359,560,7
758048,531,250,3
759833,681,634,45
760211,222,471,88
762072,250,531,27
762372,634,681,3
762424,358,90,1185
764453,95,640,4
764650,640,95,672
765331,102,364,92
765600,95,172,8
765910,221,52,138
765942,640,95,132
766237,172,95,209
770618,92,567,0
772331,166,165,32
772372,521,268,279
773940,595,19,412
810445,743,100,-1
810620,743,100,-1
810825,743,100,78
812242,24,82,-1
812475,82,24,81
812847,36,512,4
812917,171,49,1
813001,171,49,2
813005,267,403,0
813651,780,96,90
814259,321,322,0
814547,36,512,0
814596,36,512,0
816099,271,178,12
817530,324,263,-1
817968,263,324,0
817978,386,92,23
818314,449,47,137
820863,141,97,61
820950,628,116,19
821312,343,262,-1
821433,543,269,-1
821501,262,343,3
821635,262,343,95
821848,640,172,6
822767,17,807,3
822827,262,343,3
822857,262,343,13
822898,262,343,7
822916,262,343,0
822968,294,52,6
822977,294,52,0
823273,799,549,11
823327,807,17,33
823868,324,263,180
824624,420,495,109
824795,502,66,2
824863,502,66,-1
825071,812,179,-1
825223,531,250,3
825248,812,179,-1
825701,66,502,132
826496,812,179,0
826519,179,812,70
828111,595,19,155
828259,157,528,17
828276,157,772,2
828865,420,495,318
829012,297,374,11
829227,495,420,176
829462,449,47,3
829463,88,254,2
829500,254,88,6
830234,615,507,42
830682,507,615,20
831074,599,645,17
831641,615,507,6
831707,507,615,26
832053,12,244,36
832072,289,578,157
832530,289,578,1
832674,578,289,34
833910,623,651,18
833922,623,651,-1
836869,157,772,16
837079,701,413,41
837872,701,413,31
838251,701,413,488
838747,120,314,40
839390,321,322,-1
839509,557,419,37
839592,420,98,39
839697,104,288,256
839760,104,288,256
840049,220,360,24
840078,571,556,24
840375,104,288,580
840437,104,288,580
842645,166,272,0
842869,491,208,45
842899,335,278,25
843816,272,166,343
844270,403,267,0
844604,622,39,84
846414,47,449,3
848510,271,178,73
850665,22,668,77
851142,491,208,0
852459,93,481,585
853729,668,22,0
853736,668,22,11
853743,668,22,-1
855842,413,248,5
855907,639,474,183
895924,584,379,36
899429,682,405,9
899804,379,584,5
899912,435,782,36
900474,628,116,45
900544,569,465,44
901523,678,470,20
901909,51,75,-1
902488,572,505,2
903532,607,334,2
904240,388,506,34
905542,607,334,2
905577,289,578,1
905605,289,578,3
905741,805,63,70
906385,644,312,0
906462,607,334,1
906644,94,158,-1
907095,334,607,26
907390,567,676,75
907701,394,788,49
908080,119,122,3
908360,701,174,0
908386,701,174,0
909591,91,90,2
910135,94,158,14
910165,158,688,55
910298,405,152,3
910464,405,152,5
910489,682,405,46
911081,701,174,138
912304,535,240,0
913598,701,174,0
913615,701,174,102
917232,289,578,5
917247,301,300,15
918076,48,49,-1
918196,48,49,-1
918300,49,48,178
919108,623,651,4
919143,401,190,-1
919155,651,623,723
919240,190,401,28
920424,304,164,0
920517,549,799,30
921381,225,337,59
921413,120,314,25
921728,301,300,15
924848,703,474,0
925042,474,703,53
925606,598,70,130
925823,256,553,-1
925863,492,12,2
925874,331,257,139
926138,256,553,-1
926218,492,12,1
926893,19,47,286
927163,785,424,-1
927186,424,785,2
927210,158,94,228
927215,785,424,-1
927274,561,631,307
927431,688,178,454
930059,144,560,43
930833,512,36,249
932506,491,208,5
932881,144,560,6
933869,300,301,45
935671,90,358,4
935841,358,90,384
936074,23,51,2
936108,23,51,2
936978,36,37,2
937305,39,622,122
940222,521,268,19
941300,227,174,0
941843,227,174,0
942224,227,174,0
942453,201,355,0
943344,289,578,25
944135,572,505,331
944960,300,301,19
945107,634,681,53
947421,571,556,186
952593,457,401,-1
952647,401,190,-1
959131,457,401,38
959345,457,401,22
973274,21,20,0
983869,258,561,154
986082,299,237,43
986252,63,805,39
987233,37,36,-1
987237,258,561,154
987272,36,37,0
987358,37,36,408
987378,12,244,-1
987514,90,64,23
987888,90,91,155
988086,90,358,5
988190,90,358,34
988201,90,358,-1
988556,90,91,5
989182,90,91,2
989223,91,90,203
989683,37,36,33
990424,427,325,0
990436,427,325,0
992674,300,301,0
992986,221,4,17
994262,49,48,3
994567,90,91,348
994570,799,549,66
994722,799,549,14
994932,394,788,37
995338,106,672,0
995364,106,446,463
995633,48,49,-1
995696,98,495,-1
995763,98,495,0
995932,98,420,297
996030,645,155,0
996163,90,358,58
996321,420,98,356
996360,678,470,1
996457,190,401,8
996769,695,215,17
996789,485,180,58
997117,37,301,43
997377,358,90,700
998379,382,218,0
998401,495,98,5
998440,98,495,169
998481,495,98,-1
998505,98,495,169
998819,90,91,762
998914,354,666,10
998980,354,666,10
999422,354,666,9
999486,354,666,8
999510,592,8,0
999652,218,382,91
999690,90,358,15
1000566,69,37,11
1000926,485,180,0
1001287,98,420,382
1001360,805,63,63
1002011,420,98,200
1002554,598,263,-1
1002843,485,472,0
1003309,485,472,108
1004531,19,47,0
1004653,19,595,2
1005017,495,420,4
1005044,495,420,3
1005339,420,495,260
1006162,227,436,0
1006720,485,180,24
1006776,485,180,16
1007345,185,356,3
1008517,472,611,19
1008903,651,623,151
1009042,569,465,33
1009312,263,401,82
1009759,401,263,108
1009854,379,584,4
1009929,582,339,54
1010057,301,300,0
1010117,272,166,0
1010190,263,308,78
1010358,263,625,1
1010449,436,227,3
1010467,263,401,0
1010480,263,401,333
1010621,645,235,83
1010736,133,744,32
1010739,235,786,0
1010761,272,166,39
1010917,263,308,94
1010997,235,786,16
1011060,263,625,1
1011136,263,625,0
1011171,625,263,113
1011513,308,109,0
1011575,688,158,342
1011728,166,272,5
1011733,263,217,62
1011790,405,682,220
1011791,221,348,65
1011825,272,166,18
1011881,263,173,6
1011913,221,672,53
1011926,263,173,85
1012098,324,589,49
1012152,263,308,3
1012171,263,308,83
1012275,569,465,-1
1012328,221,300,50
1012334,52,259,30
1012345,449,47,-1
1012472,221,381,-1
1012478,52,418,38
1012479,36,524,76
1012528,221,344,3
1012571,52,692,39
