# user,female
0,0
2,0
3,0
4,0
5,0
6,1
7,1
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,1
22,0
23,0
24,0
25,0
27,0
28,0
29,0
30,0
32,1
33,0
34,0
35,0
36,1
37,0
38,0
39,0
40,0
41,1
42,0
43,0
44,0
45,0
46,1
47,0
48,1
49,0
50,0
51,1
52,0
53,1
54,1
55,0
57,0
58,0
59,0
61,1
62,0
63,0
64,0
65,0
66,1
67,0
68,1
69,0
70,0
71,0
72,0
73,0
74,1
75,1
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,1
91,0
92,0
93,1
94,0
95,0
96,1
97,0
98,0
99,0
100,1
101,0
102,0
103,0
104,1
105,0
106,0
107,1
108,0
110,1
111,0
112,1
113,1
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,1
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,1
132,1
133,0
135,1
136,0
137,1
138,0
139,0
140,0
141,0
142,0
144,0
145,0
146,1
147,0
148,0
149,0
150,0
151,1
152,0
153,0
154,1
155,0
156,0
157,1
158,1
160,0
161,0
162,1
163,0
164,1
165,1
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,1
176,1
177,1
178,0
179,0
180,0
181,0
182,0
183,1
184,0
185,0
186,0
187,1
188,0
189,1
190,0
191,0
192,0
193,0
194,0
195,1
196,1
197,1
198,0
199,0
200,0
201,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,1
212,0
213,0
214,0
215,0
216,0
217,1
218,1
219,0
220,0
221,0
222,0
223,0
224,0
225,1
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,1
236,0
237,0
238,0
239,1
240,0
241,0
242,0
243,0
244,0
246,0
247,1
248,0
249,0
250,0
251,0
252,0
253,0
254,0
256,0
258,0
259,0
260,1
261,0
262,1
263,1
264,0
265,1
266,0
267,0
268,0
269,0
271,0
272,0
273,0
274,1
275,1
276,0
277,1
278,0
279,0
280,0
281,1
282,0
283,0
284,1
285,0
286,0
287,0
288,0
289,0
290,0
291,1
292,0
293,1
294,0
295,0
296,1
297,0
298,1
299,0
300,1
301,0
302,0
303,0
304,0
306,0
307,0
308,1
309,0
310,0
311,1
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,1
321,1
323,0
324,0
325,0
326,1
327,0
328,0
329,0
330,1
332,0
333,0
334,0
335,1
336,0
337,0
338,1
339,0
340,0
341,0
342,1
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,1
355,1
356,0
357,1
358,1
359,0
360,0
361,0
362,0
363,0
364,0
365,1
366,0
367,0
368,1
369,0
370,0
371,1
372,0
373,0
374,0
375,0
376,0
378,0
379,0
380,0
381,0
382,0
383,1
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,1
395,1
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,1
405,1
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,1
415,1
416,1
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,1
440,0
441,0
442,0
443,1
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
453,0
455,0
456,0
457,0
459,0
460,0
461,0
462,0
463,0
464,1
465,0
466,0
467,0
468,0
469,1
470,1
471,1
472,0
473,0
474,0
475,0
476,1
477,1
478,0
479,0
480,0
481,1
482,0
483,0
484,1
485,0
486,1
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,1
498,0
499,1
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,1
508,0
509,0
510,0
511,0
512,1
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,1
522,0
523,0
524,1
525,1
526,0
527,0
528,1
529,1
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
543,0
544,0
545,1
546,1
547,0
548,0
549,0
550,1
551,0
552,0
553,0
554,0
555,1
556,1
557,1
558,1
559,0
560,0
561,0
562,1
563,0
564,0
565,0
567,0
568,0
569,1
570,0
571,1
572,0
573,0
574,0
575,0
576,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,1
589,1
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,1
601,0
602,0
603,0
607,0
608,0
610,0
611,1
612,0
613,0
614,1
615,1
616,0
617,1
619,0
620,0
621,0
622,1
623,0
624,0
625,1
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,1
634,1
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,1
646,0
647,0
648,0
649,0
650,0
651,1
652,1
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,1
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
676,0
677,1
678,0
679,0
680,0
681,0
682,1
683,0
684,1
685,0
686,0
687,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,1
701,1
702,0
703,0
704,0
705,1
706,0
707,1
709,1
710,0
711,0
712,1
714,0
715,0
716,0
717,0
718,0
719,0
720,1
721,0
722,1
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,1
733,0
734,0
735,1
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,1
744,0
745,0
750,0
751,0
752,1
753,0
754,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,1
766,1
767,0
768,1
769,1
770,1
771,0
772,1
774,0
775,0
776,1
777,1
780,1
781,0
782,0
783,0
784,0
785,0
786,0
790,1
791,1
792,0
793,0
795,0
798,0
799,0
800,0
801,0
802,0
803,1
804,0
805,0
807,0
808,0
809,1
810,0
812,1
813,0
814,0
815,0
816,0
817,0
818,0
819,1
820,1
822,0
823,0
824,0
825,0
826,1
827,0
828,0
830,0
831,0
832,1
833,0
834,0
835,0
838,0
839,1
840,0
841,1
845,0
846,0
847,1
